series,date,index,index_sa
abs,2015-01-01,101.029,101.011
abs,2015-02-01,90.812,98.808
abs,2015-03-01,101.66,98.567
abs,2015-04-01,97.041,98.377
abs,2015-05-01,100.677,100.157
abs,2015-06-01,100.905,99.91
abs,2015-07-01,100.42,100.112
abs,2015-08-01,98.206,99.464
abs,2015-09-01,101.531,101.319
abs,2015-10-01,104.589,100.764
abs,2015-11-01,99.544,99.827
abs,2015-12-01,103.587,99.592
abs,2016-01-01,104.303,102.1
abs,2016-02-01,94.629,102.7
abs,2016-03-01,104.343,102.8
abs,2016-04-01,99.762,103.1
abs,2016-05-01,103.588,103.4
abs,2016-06-01,106.333,105.6
abs,2016-07-01,104.235,103.6
abs,2016-08-01,103.132,103.5
abs,2016-09-01,104.638,105.0
abs,2016-10-01,109.175,105.2
abs,2016-11-01,106.408,105.6
abs,2016-12-01,108.95,106.7
abs,2017-01-01,108.212,105.678
abs,2017-02-01,99.487,107.995
abs,2017-03-01,109.084,107.512
abs,2017-04-01,103.819,106.72
abs,2017-05-01,107.854,107.537
abs,2017-06-01,109.514,109.008
abs,2017-07-01,110.29,109.808
abs,2017-08-01,110.216,110.788
abs,2017-09-01,109.496,109.983
abs,2017-10-01,112.825,109.167
abs,2017-11-01,111.842,110.804
abs,2017-12-01,112.03,109.852
abs,2018-01-01,113.447,109.866
abs,2018-02-01,101.82,110.83
abs,2018-03-01,112.27,111.09
abs,2018-04-01,108.986,113.036
abs,2018-05-01,111.631,112.183
abs,2018-06-01,111.803,112.025
abs,2018-07-01,113.269,113.033
abs,2018-08-01,112.342,112.136
abs,2018-09-01,112.364,112.151
abs,2018-10-01,117.756,113.634
abs,2018-11-01,114.258,112.486
abs,2018-12-01,115.97,112.405
abs,2019-01-01,117.74,113.451
abs,2019-02-01,104.275,112.911
abs,2019-03-01,116.006,114.499
abs,2019-04-01,112.671,116.883
abs,2019-05-01,116.224,117.789
abs,2019-06-01,115.317,116.009
abs,2019-07-01,114.771,115.648
abs,2019-08-01,114.887,114.464
abs,2019-09-01,114.27,113.614
abs,2019-10-01,118.046,113.803
abs,2019-11-01,116.976,114.874
abs,2019-12-01,117.452,113.648
abs,2020-01-01,118.547,114.191
abs,2020-02-01,110.597,118.496
abs,2020-03-01,110.082,108.343
abs,2020-04-01,77.052,79.766
abs,2020-05-01,91.279,93.509
abs,2020-06-01,115.479,115.706
abs,2020-07-01,116.859,119.444
abs,2020-08-01,114.805,114.753
abs,2020-09-01,115.98,115.01
abs,2020-10-01,117.862,113.92
abs,2020-11-01,114.393,111.779
abs,2020-12-01,119.519,115.305
abs,2021-01-01,120.041,116.033
abs,2021-02-01,112.384,119.701
abs,2021-03-01,120.629,118.365
abs,2021-04-01,115.27,120.731
abs,2021-05-01,115.331,118.745
abs,2021-06-01,116.946,116.882
abs,2021-07-01,110.607,113.621
abs,2021-08-01,114.452,114.128
abs,2021-09-01,118.272,116.78
abs,2021-10-01,124.39,120.23
abs,2021-11-01,124.942,121.888
abs,2021-12-01,126.595,122.476
abs,2022-01-01,124.865,122.249
abs,2022-02-01,116.442,123.355
abs,2022-03-01,126.6,124.059
abs,2022-04-01,120.477,126.849
abs,2022-05-01,119.432,123.309
abs,2022-06-01,130.8,130.293
abs,2022-07-01,124.68,128.228
abs,2022-08-01,129.509,129.242
abs,2022-09-01,131.097,129.37
abs,2022-10-01,129.836,126.123
abs,2022-11-01,131.05,127.845
abs,2022-12-01,130.2,126.652
abs,2023-01-01,127.352,124.696
abs,2023-02-01,120.637,127.24
abs,2023-03-01,130.644,127.705
abs,2023-04-01,116.599,123.236
